_id,date,gender,race,agebook,agecurr
539,2018-01-01,M,B,23,23
540,2018-01-01,M,W,36,37
541,2018-01-01,M,W,24,24
542,2018-01-01,M,W,31,32
543,2018-01-01,M,W,38,38
544,2018-01-01,M,x,25,25
545,2018-01-01,M,B,19,20
546,2018-01-01,M,B,20,21
547,2018-01-01,M,B,30,31
548,2018-01-01,M,W,37,38
549,2018-01-01,M,B,18,19
550,2018-01-01,M,W,32,33
551,2018-01-01,M,W,24,24
552,2018-01-01,M,B,46,47
553,2018-01-01,M,B,31,32
554,2018-01-01,M,W,23,24
555,2018-01-01,M,W,33,33
556,2018-01-01,M,B,19,19
557,2018-01-01,M,W,31,31
558,2018-01-01,M,B,28,28
559,2018-01-01,M,B,20,21
560,2018-01-01,M,W,42,43
561,2018-01-01,M,B,27,28
562,2018-01-01,M,B,19,20
563,2018-01-01,M,B,45,45
564,2018-01-01,M,W,30,30
565,2018-01-01,M,B,32,33
566,2018-01-01,M,x,26,27
567,2018-01-01,M,W,33,33
568,2018-01-01,M,B,57,58
569,2018-01-01,M,W,48,49
570,2018-01-01,M,B,20,20
571,2018-01-01,M,B,19,19
572,2018-01-01,M,B,51,52
573,2018-01-01,M,W,27,27
574,2018-01-01,M,W,55,55
575,2018-01-01,M,B,26,26
576,2018-01-01,M,B,24,24
577,2018-01-01,M,W,40,40
578,2018-01-01,M,B,20,20
579,2018-01-01,M,W,57,57
580,2018-01-01,M,B,25,25
581,2018-01-01,M,B,36,36
582,2018-01-01,M,W,53,53
583,2018-01-01,M,B,30,30
584,2018-01-01,M,W,31,31
585,2018-01-01,M,B,63,63
586,2018-01-01,M,B,25,26
587,2018-01-01,M,B,28,28
588,2018-01-01,M,W,45,45
589,2018-01-01,M,B,25,25
590,2018-01-01,M,B,56,56
591,2018-01-01,M,B,30,30
592,2018-01-01,M,W,69,69
593,2018-01-01,M,B,24,24
594,2018-01-01,M,W,43,43
595,2018-01-01,M,B,60,60
596,2018-01-01,M,W,39,39
597,2018-01-01,M,W,42,42
598,2018-01-01,M,W,32,32
599,2018-01-01,M,W,34,34
600,2018-01-01,M,W,44,44
601,2018-01-01,M,B,52,52
602,2018-01-01,M,B,56,56
603,2018-01-01,M,W,29,29
604,2018-01-01,M,B,36,36
605,2018-01-01,M,U,29,29
606,2018-01-01,M,W,31,31
607,2018-01-01,M,W,37,37
608,2018-01-01,M,W,43,43
609,2018-01-01,M,B,27,27
610,2018-01-01,M,B,48,48
611,2018-01-01,M,W,31,31
612,2018-01-01,M,B,26,26
613,2018-01-01,M,W,41,41
614,2018-01-01,M,B,20,20
615,2018-01-01,M,B,25,25
616,2018-01-01,M,B,27,27
617,2018-01-01,M,B,26,26
618,2018-01-01,M,W,58,58
619,2018-01-01,M,W,49,49
620,2018-01-01,M,W,30,30
621,2018-01-01,M,B,25,25
622,2018-01-01,M,B,25,25
623,2018-01-01,M,B,40,40
624,2018-01-01,M,B,22,22
625,2018-01-01,M,B,30,33
626,2018-01-01,M,B,31,33
627,2018-01-01,M,B,32,34
628,2018-01-01,M,B,22,24
